id,topic,sub_topic,study_point
120,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"REST was invented for very different programs written in very different technologies that can utilize shared data through one, universal interface.  The interface provided to the user will always look the same.
"
121,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"The REST interface enables the user to perform a basic set of operations - they are elementary, but complex enough to build complex services.
CRUD.
"
122,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"CRUD:
C - Create, POST HTTP method.
R - Read or retrieve, GET HTTP method.
U - Update, PUT HTTP method.
D - Delete, DELETE HTTP method.
"
123,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"The fact that the json-server serves data initially encoded as JSON has absolutely nothing to do with the fact that we will transmit JSON messages between the client (our code) and the server (json-server) . The way the server is used to initialize and store data is actually a black box for us (unless we are implementing the server itself).
"
124,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"The HTTP server is able to transfer virtually any kind of data: text, image, video, sound and many others.  The server reponses header contains a field name Content-Type, that alerts us of this.
"
125,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"If you don't need all the contents of the resource specified during a GET request, you can prepare a specific request via the URI or utilizing parameters.
"
126,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"A particular server may provide some additional facilities, e.g. it may manipulate data before sending it to the client.  The json-server is able to sort items using any of the properties as the sort key.
"
127,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"A server implementing HTTP version 1.1 works in the following manner:
- It waits fort the cleints connection.
- It reads the clients request.
- It sends it response.
- It keeps the connection alive, waiting for the clients next request.
- If the client is inactive for some time, the server silently closes the connection, this means that the client is obliged to set up a new connection again if it wants to send another request.
"
128,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"XML - Extendable Markup Language:
XML is a language, it is not a programming language.  XML is like JSON, a universal and transparent carrier of any type of data.  XML is much older than JSON.  XML seems to be bloated compared to JSON.
"
129,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"XML documents can OPTIONALLY contain:
HEADER, first line that has the version of the XML and the how the text is encoded.
COMMENT, second line that is ignored completely by the XML parser.
DOCTYPE, third line that describes the desired document content. (DTD) Document Type Definition.

"
130,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"The XML document consisits of Elements, each element is marked by a pair of tags, and opening tag and a closing tag.  All the text within the tags is the elements content, or simply elements text.
"
131,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"XML contains a root element, which must occur exactly once inside the XML document.
"
132,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"Elements can also contain attributes, which are reserved for absolute or almost absolute values.  We can put as many attributes inside a tag as we need.
"
133,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"The best model of the XML structure is a tree, which is often called a graph by mathematicians and computer scientists.
"
134,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"JSON is more convenient and last but most important - most currently implemented services uses JSON, not XML.  JSON is much more popular.
"
135,OOP Advanced,Extended fucntion argument syntax,"The two special identifiers (named *args and **kwargs) should be put as the last two parameters in a fumction definition.  Thier names could be changed, because it is just a convention, but it is more important to to sustain the order of the parameters and leading asterisks.
"
136,OOP Advanced,Extended fucntion argument syntax,"*args - referes to a tuple of additional, not explicity expected positional arguments, so arguments passed without keywords and passed next after the expected arguments.  In other words, *args collects all unmatched postional arguments.
"
137,OOP Advanced,Extended fucntion argument syntax,"**kwargs (keyword arguments) - refers to a dictionary of all unexpected arguments that were passed in the form of keyword=value pairs. Likewise, **kwargs collects all unmatched keyword arguments.
"
138,OOP Advanced,Extended fucntion argument syntax,"In Python, asterisks are used to denote that args and kwargs parameters are not ordinary parameters and should be unpacked, as they carry multiple items.
"
139,OOP Advanced,Extended fucntion argument syntax,"Important facts about function arguments;
- Some functions can be invoked without arguents.
- Functions may require a specific number of arguments with no exclusions.
- Functions might have already defined default values for some parameters (keyword parameters).
- We can pass arguments in any order if we are assigning keywords to all argument values, otherwise positional ones are the first ones on the arguments list.
"
140,OOP Advanced,Extended fucntion argument syntax,"When you want to forward arguments received by your very smart and universal function - you do it defined with *args and **kwargs.
"
141,OOP Advanced,Decorators,"A decorator is one of the design patterns that decribes the structure of related objects.  Python is able to decorate functions, methods and classes.
"
142,OOP Advanced,Decorators,"Decorators are used to peform operations before and after a call to a wrapped object or even to prevent its execution, depending on the circumstances.  A decorator can change the operation of the packaged object without directly modifyiing it.
- Decorators are used in: the vaildation of arguments, the modification of arguments, the modification of returned objects, the measurement of execution time, message logging, thread synchronization, code refactorization and caching.
"
143,OOP Advanced,Decorators,"Decorator operations are performed on object names.
The name of the function object ceases to indicate the object representing our function and from that moment on it indicates the object returned by the decorator.
"
144,OOP Advanced,Decorators,"Decorators should be Universal:
- Decorators which should be universal should support any function, regrardless of the number and type of arguments passed.
- In such a situation, we can use the *args and **kwargs concepts and employ the closure technique to persist arguments.
"
145,OOP Advanced,Decorators,"Decorators can accept their own attributes as in Python we can create a decorator with arguments.
"
146,OOP Advanced,Decorators,"Deocrator Stacking - Python allows you to apply multiple decorators to a callable object (function, method or class).  The most important thing to remember is the order in which the decorators are listed in your code, because it determines the order of the executed decorators.
"
147,OOP Advanced,Decorators,"A decorator does not have to be a function, it could be a class that plays the role of a decorator as a function.  It utilizes special methods:
- The __init__ method assigns a decorated function reference to the self.attribute for later use.
- The __call__ method, which is responsible for supporting a case when an object is called, calls a previously referenced function.
"
148,OOP Advanced,Decorators,"The advantage of decorating functions with classes is that the classes bring all the subsidiary they can offer, like inheritance and the ability to create dedicated supportive methods.
"
149,OOP Advanced,Decorators,"Decorators are powerful and useful tools in Python, because they allow programmers to modify the behavior of a function, method or class.
- Decorators allow us to wrap another callable object in order to extend its behavior.
- Decorators rely heavily on closures and *args and **kwargs.
"
150,OOP Advanced,Encapsulation,"Attribute encapsulation describes the idea of bundling attributes and methods that work on those attributes within a class.
"
151,OOP Advanced,Encapsulation,"Encapsulation is used to hide attributes inside a class like in a capsule, preventing unauthorized parties' direct access to them.  Publicly accessible methods are provided in the class to access the values, and other objects call those methods to retrieve and modify the values within the object.
"
152,OOP Advanced,Encapsulation,"Python introduces the concept of properties that act like proxies to encapsulated attributes:
- The code calling the proxy methods might not realize if it is talking to the real attributes or to the methods controlling the access to the attributes.
- You can change your class implementation from a class that allows simple and direct access to attributes and the consumer implementation does not have to be changed.
"
153,OOP Advanced,Encapsulation,"Attribute encapsulation is not full access control, the programmer can still get access to your attributes intentionally as Python does not deliver true privacy.  If your code does intentionally access the attributes marked as private in a direct way, it truly is not Pythonic code.
"
154,OOP Advanced,Encapsulation,"Python allows you to control access to attributes with the built in property() function and corresponding decorator @property.
- It designates a method which will be called automatically when another object wants to read the encapsulated value.
- The name of the method will be used as the name of the instance attribute.
- It should be defined before the @attribute.setter and @attribute.deleter methods.
"
155,OOP Advanced,Encapsulation,"Whenever you'd like to control access to an attribute, you should prepare dedicated properties, becuase properties control only designated attributes.  Properties are also inherited, so you can call setters as if they were attributes.
"
156,OOP Advanced,Different faces of Python methods,"Class Methods and Static Methods:
- Should be understood as tool methods, extending our ability to use classes, not necessarily requiring the creation of class instances to use them.
"
157,OOP Advanced,Different faces of Python methods,"Class methods are methods that, like class variables, work on the class itself, and not on the class objects that are instantiated.  They are methods bound to the class, not to the object.
- They can control access to the class variables.
- They can be utilized to create a class instance in an alternative way, so the class method can be impemented by an alternative constructor.
"
158,OOP Advanced,Different faces of Python methods,"Static Methods are methods that do not require (and do not expect!) a parameter indicating the class object or the class itself in order to execute their code:
- It can be used when you need a utility method that comes in a class because it is semantically related, but does not require an object of that class to execute its code.
- Also, when the static method does not need to know that state of the objects or classes.
"
159,OOP Advanced,Different faces of Python methods,"Static Methods do not have the ability to modify the state of objects or classes, because they lack the parameters that would allow this.
"
160,OOP Advanced,Different faces of Python methods,"Static and Class Methods - comparison:
1. A class method requires 'cls' as the first parameter and a staic method does not.
2. A class method has the ability to access the state or methods of the class, and a static method does not.
3. A class method is decorated by @classmethod and a static method by @staticmethod.
4. A class method can be used as an alternative way to create objects, and a static method is only a utiity method.
"
161,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","PEP 257 is a document created as part of the Python Developer's Guide. It outlines the conventions, best practices, and semantics (not laws or regulations!) associated with documenting python code using docstrings.
- What should Python docstrings contain.
- How should Python docstrings be used.
"
162,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","A docstring is a string literal that occurs as the first statement in a module, function, class or method definition.  Such a docstring becomes the __doc__ special attribute of that object.
- To provide information about the functionality of a larger piece of code in a prescriptive way.
"
163,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Documenting code helps to maintain a cleaner, more readable, and more sustainable code, which means it's one of the best practices a good, responsible developer should adopt as part of their daily programming workshop toolset.
"
164,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Docstrings can be accessed by reading the source code, and by using the __doc__ attribute or the help function.
"
165,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","The main purpose of the docstring is documenting your code - describing its use, functionality, and capabilities to users who do not necessarily need to know how it works.
"
166,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Docstrings can be easily turned into documentation, which describes a module's or function's behavior, the meaning of parameters, or the purpose of a spcecific package.
"
167,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Type hinting is a mechanism described in PEP 484 that allows you to equip your code with additional information without using comments. Utilizing the typing module, you provide type hint infomation in your code in order to leave certain suggestions, mark certain possible problems that may come up in the development process, and label specific names with type information.
"
168,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","In nutshell, type hinting allows you to statically indicate the type information related to Python objects.  Type hinting is OPTIONAL.
"
169,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Type hinting can help you document your code, instead of leaving argument and response related information in docstrings, you can use the language itself to serve this purpose.
"
170,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Type hinting allows you to notice certain kinds of errors more effectively and write a more beautiful and most of all, a cleaner code.
"
171,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Type hinting in Python is not used at runtime, all type hinting information in the form of annotations is erased when the program is executed, it does not have an effect on the operation of the code.
"
172,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","All public modules, functions, classes and methods that are exported by a given module should have docstrings, non-public methods do not need to contain docstrings.  In the case of packages, which should be documented, they should be included within the __init__.py file in the package folder.
"
173,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Docstrings should be surrounded by triple doube quotes ("""""" """"""), if backslashes are neccesary in the code then r"""""" """""" double quotes should be used, and for unicdoe docstrings u"""""" """""".
"
174,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","One line docstrings - they are used for simple and short descriptions and should fit on one line.
Multi-line docstrings - They are used for more difficult cases and should consist of a summary line followed by one blank line and a more elaborate description.
"
175,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","One-line docstrings:
- Shoud be used for rather simple, obvious and short descriptions.
- Should begin with an upper-case letter and end with a period.
- Should be used to prescribe the code segment'e effect, not describe.
- A docstring should not just simply repeat the function or method parameters.
- Do not use a blank line above or under a one-line docstring unless your documenting a class.
"
176,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","Multi-line docstrings:
- Should be used for non-obvious cases and more detailed descriptions of code segments.
- They should have a summary line, followed by a blank line and a more elaborate description.
- The end quotes should be put on a separate line.
- A multi-line docstring should be indented to the same level as the open quotes.
"
177,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","A linter is a tool that analyzes your code for any stylistic anomalies and programming errors against a set of pre-defined rules.  It's a program that analyzes your code and reports such issues as structural and syntax errors, consistency breakups and a lack of compatibility with best practices or code guidelines like PEP8.
- Examples include Pycodestyle (the official linter tool to check PEP8) and Flake8.
"
178,"PEP 257, PEP 484, Documentation standards and linters","PEP 257 - Docstring Conventions, documentation, type hinting, and linters","A fixer is a program that helps you fix these issues and format your code to be consistent with the adopted standars.
- The most popular fixers are Black, YAPF and autopep8.
"
179,Tkinter Essentials,Python Professional Course Series: GUI Programming,"Visual Programming:
- Creating applications to utilize GUI features.
- The term stresses the fact that an application's look is as important as its functionality, what you can do to change its state, and how you force the application to submit to your will.
- A working GUI application externalizes its existence by creating a window (or windows) visible on the screen, in some environments the window can occupy the whole screen.
"
180,Tkinter Essentials,Python Professional Course Series: GUI Programming,"Widgets - The GUI elements designed to receive the users gestures (a mouse's movements, clicks or dragging) are called controls or widgets.
- The widget that owns the focus is called the focussed widget.
"
181,Tkinter Essentials,Python Professional Course Series: GUI Programming,"Classical vs event-driven programming:
- Detecting, registering and classifying all of a user's actions is beyond the programmer's control, their is an event controller which takes care of this, it's automatic and completely opaque.
- You have to inform the event controller what you want to perform when a particular even takes place (mouse-click) via an event handler.
"
182,Tkinter Essentials,Python Professional Course Series: GUI Programming,"Tk and Tkinter - a widget toolkit, a GUI toolkit or a UX library.
- It's free and open.
- It has been developed since 1991 (stable and mature)
- It defines and serves more than thirty different universal widgets.
"
183,Tkinter Essentials,Let Tkinter speak!,"Tkinter is a package name tkinter.  The package contains a bunch of functions, constants, classes, objects and modules used to built GUI applications, consisting of four elements:
- Importing the needed tkinter components.
- Creating an applications main window.
- Adding a set of necessary widgets to the window.
- Launching the event controller.
"
184,Tkinter Essentials,Let Tkinter speak!,"An event hander is a piece of code responsible for responding to all clicks addressed to our button.
- It' a function, just a simple function.
- This function is often called a callback, handler and callback are used interchangeably.
"
185,Tkinter Essentials,Let Tkinter speak!,"Binding the callback with the widget by using the command constructor's parameter is not the only way offered by tkinter for this purpose, callbacks can be replaced during program execution.  The one and same callback can also be bound with more than one widget.
"
186,Tkinter Essentials,Let Tkinter speak!,"messagebox is able to create dialog boxes intended to ask questions, display messages, and to recieve a users reply.  The dialog box is an example of a modal window, a window which grabs the whole of the application's focus. It means that all other application widgets become deaf as long as the modal window is present.
"
187,OOP Advanced,Abstract classes,"An abstract class is a blueprint for other classes, a contract between a class designer and programmer.
- The class designer sets requirements regarding methods that must be implemented by just declaring them, not defining them in detail (called abstract methods).
- The programmer has to deliver all method definitions, which a validated by a dedicated module, these methods are delivered by overriding the method declaration received from the class designer.
"
188,OOP Advanced,Abstract classes,"The contract assures you that a child class, built upon the abstract class, will be equipped with a set of concrete methods imposed by the abstract class.
"
189,OOP Advanced,Abstract classes,"We want our code to be polymorphic, so all subclasses have to deliver a set of their own method implementations in order to call them by using common method names.
"
190,OOP Advanced,Abstract classes,"A class which contains one or more abstract methods is called an abstract class. This means that abstract classes are not limited to containing only abstract methods - some of the methods can already be defined, but if any of the methods in the abstract one, then the class becomes abstract.
"
191,OOP Advanced,Abstract classes,"An abstract method is a method that has a declaration, but does not have any implementation.
"
192,OOP Advanced,Abstract classes,"It isn't possible to instantiate an abstract class, and it needs subclasses to provide implementations for those abstract methods which are declared in the abstract classes.
"
193,OOP Advanced,Abstract classes,"The python module which provides the helper class for defining Abstract Base Classes (ABC).
- import abc
- make your base class import the helper class ABC, delivered by the abc module.
- decorate abstract methods with @abstractmethod, from the abc module.
"
194,OOP Advanced,Abstract classes,"When you plan to implement a multiple inheritance from abstract classes, remember that an effective subclass should override all abstract methods inherited from its super classes.
"
195,OOP Advanced,Abstract classes,"- Abstract Base Class (ABC) is a class that cannot be instantiated. Such a class is a base class for concrete classes.
- ABC can only be inherited from.
- We are forced to override all abstract methods by delivering concrete method implementations.
"
196,OOP Foundations,"Classes, Instances, Attributes Methods -- introduction","A class expresses and idea, it's a blueprint or recipe for an instance.  Classes describe attributes and functionalities together to represent an idea as accurately as possible.  A class is a place which binds data with code.
"
197,OOP Foundations,"Classes, Instances, Attributes Methods -- introduction","An instance is one particular physical instantiationof a class that occupies memory and has data elements.  This is what 'self' refers to when we deal with class instances.
"
198,OOP Foundations,"Classes, Instances, Attributes Methods -- introduction","An object is everything in Python that you can operate on, like a class, instance, list, or dictionary. The term instance is very often used interchangeably with the term object, because object refers to a particular instance of a class.  It's a bit of a simpiification, because the term object is more general than instance.
"
199,OOP Foundations,"Classes, Instances, Attributes Methods -- introduction","An attribute is a capacious term that refers to two major kinds of class traits:
- variables, containing information about the class itself or a class instance.
- methods, formulated as Python functions, they represent a behavior that could be appied to the object.
"
200,OOP Foundations,"Classes, Instances, Attributes Methods -- introduction","Methods are the callable attributes of Python objects.  Such objects allow you to use round () parentheses and eventually pass some parameters, just like functions.
- Methods are called on behalf of an object and are usually executed on object data.
"
201,OOP Foundations,"Classes, Instances, Attributes Methods -- introduction","A type is one of the most fundamental and abstract terms of Python:
- It is the foremost type that any class can be inherited from.
- If you are looking for the type of a class, then type is returned.
- In all other cases, it refers to the class that was used to instantiate the object.
- It's the name of a very handy Python function.
- It returns a new type object when type () is called with three arguments.
"
202,OOP Foundations,Working with class and instance data - instance variables,"Python allows for variables to be used at the instance level or the class level.
- Those at the instance level are Instance variables.
- Those at the class level are class variables.
"
203,OOP Foundations,Working with class and instance data - instance variables,"Instance Variable:
- Exists when it is explicitly created and added to an object.
- This can be done during the object's initialization, performed by the __init__ method.
- Or at any moment of the object's life.
- Furthermore any existing property can be removed at any time.
- Each object carries its own set of variables, they don't interfere with one another in any way.
"
204,OOP Foundations,Working with class and instance data - instance variables,"Instance variables can be created during any moment of an objects life, utilizing the built-in __dict__ property you can view its contents.
- Instance variables within an object are completely isolated from other objects.
"
205,OOP Foundations,Working with class and instance data - instance variables,"Class variables are defined within the class construction, so these variables are available before any class instance is created.
- Similar to instance variables, class variables show up in the class's __dict__ property.
"
206,OOP Foundations,Working with class and instance data - instance variables,"A class variable is present before any instance of the class is created:
- It can be used to store metadata about the class.
- It can house fixed information like description, configuration or identification values.
- It can be useful housing mutable information like the number of instances created.
- The class variable is not listed with the instance (object's) __dict__ property.
"
207,OOP Foundations,Working with class and instance data - instance variables,"When you want to set or change the class variable, you should access it via the class, if you attempt to do this via the instance variable you are overriding the class variable, creating an additional copy and planting a bug in your program.
"
208,OOP Advanced,Python core syntax,"Python core syntax - an ability to perform specific operations on different data types, when operations are formulated using the same operators or instructions, or even functions.
- operators like '+', '-', '*', '/', '%' and many others.
- oprators like '==', '<', '>', '<=', 'in' and many others.
- indexing, slicing, subscripting.
- built-in functions like str(), len().
- reflexion - ininstance(), issubclass().
"
209,OOP Advanced,Python core syntax,"When called, functions and operators that state the core syntax are translated into magic methods delivered by specific classes.
- These magic methods are sometimes called special purpose methods, because these methods are designated by design to handle specific operations.
- Also called dunder methods because of the double underscores before and after.
"
210,OOP Advanced,Python core syntax,"When you design and implement your own classes and you want to make use of Python core syntax to operate on those class objects, you can easily achieve this by implementing the appropriate magic methods.
"
211,OOP Advanced,Python core syntax,"The dir() and the help() functions are a viable resource for getting an understanding of an objects capabilities.
"
212,OOP Advanced,Python core syntax,"Real life cases which chould be implemented using special methods:
- Adding time intervals like hours, minutes, seconds.
- Adding length measurements like feet-inches to yard-feet-inches.
"
